date,source_dataset,gross_strategy_return,net_strategy_return,benchmark_return,turnover,trading_cost,cumulative_net_return
2023-10-05,medium_term_alpha\Results\sample_prices.csv,-0.0013506656638220549,-0.0013506656638220549,-0.00037678248811068293,0.0,0.0,0.9919817677256587
2023-10-06,medium_term_alpha\Results\sample_prices.csv,-0.0010019348054647126,-0.0010019348054647126,0.011872825285774935,0.0,0.0,0.990987866666188
2023-10-09,medium_term_alpha\Results\sample_prices.csv,0.002099477129858478,0.002099477129858478,0.006402238236267621,0.0,0.0,0.993068423028221
2023-10-10,medium_term_alpha\Results\sample_prices.csv,-0.0002542459154780197,-0.0002542459154780197,0.005204792636394062,0.0,0.0,0.9928159394378758
2023-10-11,medium_term_alpha\Results\sample_prices.csv,-0.002151186898884758,-0.002151186898884758,0.004096164144500314,0.0,0.0,0.9906802067959531
2023-10-12,medium_term_alpha\Results\sample_prices.csv,-1.127322879691972e-05,-1.127322879691972e-05,-0.00609630654772797,0.0,0.0,0.9906690386313174
2023-10-13,medium_term_alpha\Results\sample_prices.csv,0.0019160317520272628,0.0019160317520272628,-0.004980926390161344,0.0,0.0,0.9925671919650854
2023-10-16,medium_term_alpha\Results\sample_prices.csv,4.367847211559805e-05,4.367847211559805e-05,0.010521383332395828,0.0,0.0,0.9926105457835025
2023-10-17,medium_term_alpha\Results\sample_prices.csv,0.0007858219417838619,0.0007858219417838619,-4.5994991528242046e-05,0.0,0.0,0.9933905609300252
2023-10-18,medium_term_alpha\Results\sample_prices.csv,0.0008402822513390485,0.0008402822513390485,-0.013325080330662153,0.0,0.0,0.9942252893870225
2023-10-19,medium_term_alpha\Results\sample_prices.csv,3.718642574079389e-05,3.718642574079389e-05,-0.008786268781063922,0.0,0.0,0.9942622610719157
2023-10-20,medium_term_alpha\Results\sample_prices.csv,-0.0010299045845511112,-0.0010299045845511112,-0.012288150453647506,0.0,0.0,0.9932382658109916
2023-10-23,medium_term_alpha\Results\sample_prices.csv,-0.000880448788483239,-0.000880448788483239,-0.0017331115807659447,0.0,0.0,0.9923637703831831
2023-10-24,medium_term_alpha\Results\sample_prices.csv,-0.0005810859202178231,-0.0005810859202178231,0.007539412967386028,0.0,0.0,0.9917871217684793
2023-10-25,medium_term_alpha\Results\sample_prices.csv,0.00011071939472906855,0.00011071939472906855,-0.014352100861133477,0.0,0.0,0.9918969318383016
2023-10-26,medium_term_alpha\Results\sample_prices.csv,-0.0005470175433495328,-0.0005470175433495328,-0.011974758376581351,0.0,0.0,0.9913543468153915
2023-10-27,medium_term_alpha\Results\sample_prices.csv,-0.0011431226076835798,-0.0011431226076835798,-0.004532691233238073,0.0,0.0,0.9902211072493214
2023-10-30,medium_term_alpha\Results\sample_prices.csv,0.00018758926974514532,0.00018758926974514532,0.011955893424185682,0.0,0.0,0.9904068621037165
2023-10-31,medium_term_alpha\Results\sample_prices.csv,-1.7002558623750997e-05,-1.7002558623750997e-05,0.006280165678129723,0.0,0.0,0.9903900226529821
2023-11-01,medium_term_alpha\Results\sample_prices.csv,0.003419226902420203,0.003329226902420203,0.010664692771986006,0.18,8.999999999999999e-05,0.9936872557602869
2023-11-02,medium_term_alpha\Results\sample_prices.csv,0.002167639345261727,0.002167639345261727,0.0191644088315841,0.0,0.0,0.995841211352758
